nome,genere,giorni_preferiti,fasce_preferite,indisponibilita
Team Alpha,M,1;2,10:00-13:00,
Team Beta,M,1;3,,
Team Gamma,M,2;3,15:00-19:00,
Team Delta,M,1;2,,
Team Epsilon,M,2;3,10:00-13:00,
Team Zeta,M,1,,
Team Eta,M,3;4,,
Team Theta,M,1;2,15:00-19:00,
Team Iota,M,2,,
Team Kappa,M,1;3,,
Team Lambda,M,2;4,,
Team Mu,M,1;2,,
Team Nu,M,3,,
Team Xi,M,1;4,,
Team Omicron,M,2;3,,
Team Pi,M,1,,
Tigri Rosa,F,1;2,10:00-13:00,
Leonesse,F,2;3,,
Aquile,F,1,,
Falchi,F,2;3,15:00-19:00,
Pantere,F,1;2,,
Stelle,F,3,,
